COMBUSTÍVEL ; ANO ; REGIÃO ; ESTADO ; UNIDADE ; JANEIRO ; FEVEREIRO ; MARÇO ; ABRIL ; MAIO ; JUNHO ; JULHO ; AGOSTO ; SETEMBRO ; OUTUBRO ; NOVEMBRO ; DEZEMBRO ; TOTAL ; 
ÓLEO DIESEL ;1993; REGIÃO SUL ; SANTA CATARINA ; m3 ;75569,22;83508;109011,885;103611,951;100595,264;103453,38;88925,63;98569,5;88304,842;91394,97;96153,988;90872,815;1129971,445; 
ÓLEO DIESEL ;1993; REGIÃO SUL ; RIO GRANDE DO SUL ; m3 ;145235,426;143132,801;195412,406;200748,727;174910,296;171010,407;150629,153;198234,508;181152,556;199310,011;189979,424;181613,6;2131369,315; 
ÓLEO DIESEL ;1993; REGIÃO CENTRO-OESTE ; MATO GROSSO DO SUL ; m3 ;45640,971;53827,633;73064,506;65185,173;63053,323;70092,798;70166,482;80991,871;76161,441;82727,743;71661,006;59781,47;812354,417; 
ÓLEO DIESEL ;1993; REGIÃO CENTRO-OESTE ; MATO GROSSO ; m3 ;69075,514;70842,553;94123,853;91447,325;93115,094;105706,425;99533,145;109289,18;110589,586;119065,407;109118,577;92983,108;1164889,767; 
ÓLEO DIESEL ;1993; REGIÃO CENTRO-OESTE ; GOIÁS ; m3 ;69495,481;66105,884;89637,636;86373,645;91020,508;97415,893;93167,801;101755,967;107272,416;112418,801;99794,539;81292,06;1095750,631; 
ÓLEO DIESEL  ;1993; REGIÃO CENTRO-OESTE ; DISTRITO FEDERAL ; m3 ;16252,914;16192,613;19918,714;18349,758;20669,998;21227,328;19517,244;20015,496;20149,274;20437,782;19857,5;19902,311;232490,932; 
ÓLEO DIESEL ;1994; REGIÃO NORTE ; RONDÔNIA ; m3 ;26383,203;27152,719;30054,392;28592,12;29782,372;32765,385;33083,531;42113,723;40537,523;42099,065;44461,292;42491,975;419517,3; 
ÓLEO DIESEL ;1994; REGIÃO NORTE ; ACRE ; m3 ;11329,614;10621,049;10926,198;8978,08;9972,372;9112,285;8631,827;10828,825;10382,229;9884,81;9331,452;10317,148;120315,889; 
ÓLEO DIESEL ;1994; REGIÃO NORTE ; AMAZONAS ; m3 ;28491,154;22657,34;26501,658;24003,335;26967,212;24211,286;28394,026;25503,191;27484,369;28527,64;29080,291;35080,744;326902,246; 
ÓLEO DIESEL ;1994; REGIÃO NORTE ; RORAIMA ; m3 ;9600,246;9610,167;11971,625;8870,731;9641,389;8547,523;8112,321;9820,943;10822,987;9878,528;11187,225;10839,319;118903,004; 
ÓLEO DIESEL ;1994; REGIÃO NORTE ; PARÁ ; m3 ;65212,061;57179,817;64730,363;63271,206;62582,135;64794,356;64814,733;77132,009;78376,797;72205,561;67986,593;63778,765;802064,396; 
ÓLEO DIESEL ;1994; REGIÃO NORTE ; AMAPÁ ; m3 ;6401,39;6644,654;7907,196;8199,64;8140,537;8597,91;8309,761;12015,696;11469,747;10408,47;10361,035;9396,609;107852,645; 
ÓLEO DIESEL ;1994; REGIÃO NORTE ; TOCANTINS ; m3 ;18898,17;19032,876;20574,921;18234,54;19359,516;18887,289;19141,926;23231,048;23929,05;21391,946;23449,759;24573,292;250704,333; 
ÓLEO DIESEL ;1994; REGIÃO NORDESTE ; MARANHÃO ; m3 ;37897,549;34040,746;38257,02;33317,349;35768,72;38519,265;36772,592;47038,083;46726,698;44733,62;46422,844;45858,083;485352,569; 
ÓLEO DIESEL ;1994; REGIÃO NORDESTE ; PIAUÍ ; m3 ;12515,87;10966,95;11205,682;10136,35;11515,65;11148,12;11293,3;13575,6;12985,15;12338,75;13844,301;15484,19;147009,913; 
ÓLEO DIESEL ;1994; REGIÃO NORDESTE ; CEARÁ ; m3 ;34430,595;30837,457;32715,901;30025,457;31929,63;31445,584;31231,328;38153,841;38025,202;35434,868;37343,109;37769,148;409342,12; 
