COMBUSTÍVEL ; ANO ; REGIÃO ; ESTADO ; UNIDADE ; JANEIRO ; FEVEREIRO ; MARÇO ; ABRIL ; MAIO ; JUNHO ; JULHO ; AGOSTO ; SETEMBRO ; OUTUBRO ; NOVEMBRO ; DEZEMBRO ; TOTAL ; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO NORTE ; ACRE ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO NORTE ; AMAZONAS ; m3 ;346;277,2;395;372,8;444;351;342;296,8;296;376;251;226;3973,8; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO NORTE ; RORAIMA ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO NORTE ; PARÁ ; m3 ;267,2;201,3;287,1;222,35;269,3;245,3;208,1;214,25;227,2;219,3;257,25;324,2;2942,85; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO NORTE ; AMAPÁ ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO NORTE ; TOCANTINS ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO NORDESTE ; MARANHÃO ; m3 ;646,1;469,05;498;537,1;604,15;381,1;612,15;539,2;443,05;586,1;441,05;371,1;6128,15; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO NORDESTE ; PIAUÍ ; m3 ;228,893;139,466;159,49;121,959;221,35;102,24;206,553;134,425;174,508;114,203;72,17;87,26;1762,517; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO NORDESTE ; CEARÁ ; m3 ;315,208;210,208;323,572;260;455;465;241;326,2;352;261;275;206;3690,188; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO NORDESTE ; RIO GRANDE DO NORTE ; m3 ;80;44;62;57;42;72;82;105;97;60;62;61,25;824,25; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO NORDESTE ; PARAÍBA ; m3 ;10;5;30;20;15;30;20;10;25;10;10;0;185; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO NORDESTE ; PERNAMBUCO ; m3 ;299;175,45;230;623,5;322,6;319,9;195,5;225;169,5;206;217;205;3188,45; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO NORDESTE ; ALAGOAS ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO NORDESTE ; SERGIPE ; m3 ;0;0;0;0;15;0;0;15;0;0;0;10;40; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO NORDESTE ; BAHIA ; m3 ;221,348;234,521;205,007;178,998;338,285;203,879;316,279;503,708;523,757;608,852;574,458;505,71;4414,802; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO SUDESTE ; MINAS GERAIS ; m3 ;2071,331;2638,707;2331,597;2218,616;2075,086;1370,737;1278,745;1806,147;2020,936;2344,02;2652,339;2328,176;25136,437; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO SUDESTE ; ESPÍRITO SANTO ; m3 ;995,689;556,289;1312,721;934,353;457,446;246,231;372,213;407,049;306,01;201,937;349,846;793,955;6933,739; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO SUDESTE ; RIO DE JANEIRO ; m3 ;1370,516;1721,747;1509,731;1214,184;1154,723;1038,055;954,774;1369,997;2475,697;2631,291;2832,426;2114,266;20387,407; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO SUDESTE ; SÃO PAULO ; m3 ;6570,85;6339,378;7747,088;7145,288;5350,928;4101,696;4840,295;8438,144;7204,415;9288,577;8691,201;8268,889;83986,749; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO SUL ; PARANÁ ; m3 ;712,183;632,225;765,546;636,4;755,983;701,641;569,07;632,349;623,114;655,44;562,494;465,628;7712,073; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO SUL ; SANTA CATARINA ; m3 ;497,202;387,774;463,027;484,598;547,291;462,513;518,486;534,17;427,16;492,39;402,126;410,236;5626,973; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO SUL ; RIO GRANDE DO SUL ; m3 ;1514,403;1416,059;1872,221;1002,461;1115,536;1427,41;1467,107;1298,372;1331,268;1510,268;1139,196;1469,704;16564,005; 
QUEROSENE ILUMINANTE  ;2001; REGIÃO CENTRO-OESTE ; MATO GROSSO DO SUL ; m3 ;37;17;5;37;0;40;25;25;5;15;35;5;246; 
